GFA files,gfa_count,runs,elapsed_avg_s,elapsed_min_s,elapsed_max_s,elapsed_std_s,rss_avg_kb,rss_min_kb,rss_max_kb,rss_std_kb,elapsed_avg_mmss,elapsed_min_mmss,elapsed_max_mmss,elapsed_mmsstd_mmss,rss_avg_gb,rss_min_gb,rss_max_gb,rss_std_gb
"/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/metaspades_output/renamed_graph.gfa",2,10,55.903,34.91,69.36,10.1315569166617,2176283.2,1071756,3263308,659705.5826332767,0:55.90,0:34.91,1:09.36,0:10.13,2.0754653930664064,1.0221061706542969,3.112133026123047,0.629144270547177
"/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752162/metaspades_output/renamed_graph.gfa",3,10,78.689,70.18,93.15,8.348758324179446,3163968.4,2187068,3318988,343727.8217683288,1:18.69,1:10.18,1:33.15,0:08.35,3.0173954010009765,2.0857505798339844,3.165233612060547,0.3278043954547203
"/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752162/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752160/metaspades_output/renamed_graph.gfa",4,10,120.364,101.21,130.59,9.145467851467316,3884102.8,3410160,4030208,215240.86835439855,2:00.36,1:41.21,2:10.59,0:09.15,3.7041690826416014,3.2521820068359375,3.843505859375,0.2052696879905687
"/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752162/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752160/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752150/metaspades_output/renamed_graph.gfa",5,10,153.048,142.71,180.18,10.485846333669656,6418529.6,6418212,6420272,693.2953835768028,2:33.05,2:22.71,3:00.18,0:10.49,6.121186828613281,6.120883941650391,6.1228485107421875,0.0006611780010002163
"/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752162/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752160/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752150/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752154/metaspades_output/renamed_graph.gfa",6,10,167.13,160.95,170.88,3.388588693443542,6418641.2,6418140,6420268,863.1869631390285,2:47.13,2:40.95,2:50.88,0:03.39,6.121293258666992,6.120815277099609,6.122844696044922,0.0008231992370024
"/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752162/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752160/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752150/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752154/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752153/metaspades_output/renamed_graph.gfa",7,10,183.936,173.94,207.11,9.549303872243494,6418588.0,6418148,6420256,820.7530417584236,3:03.94,2:53.94,3:27.11,0:09.55,6.121242523193359,6.120822906494141,6.122833251953125,0.000782731096037315
"/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752162/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752160/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752150/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752154/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752153/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR594355/metaspades_output/renamed_graph.gfa",8,10,204.49,187.41,271.84,24.63649280595307,6496515.2,6495784,6500152,1524.4062450672343,3:24.49,3:07.41,4:31.84,0:24.64,6.195559692382813,6.194862365722656,6.199028015136719,0.001453787083689913
"/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752162/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752160/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752150/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752154/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752153/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR594355/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR599362/metaspades_output/renamed_graph.gfa",9,10,198.97,194.36,205.64,3.463450431129172,6734523.2,6732976,6736828,1157.0749327505962,3:18.97,3:14.36,3:25.64,0:03.46,6.422541809082031,6.4210662841796875,6.424739837646484,0.0011034726455217325
"/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752162/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752160/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752150/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752154/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752153/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR594355/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR599362/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR594375/metaspades_output/renamed_graph.gfa",10,10,209.147,201.96,214.75,4.436918475198246,6890006.0,6888752,6893204,1586.7834690901898,3:29.15,3:21.96,3:34.75,0:04.44,6.570821762084961,6.5696258544921875,6.573871612548828,0.0015132746401693247
"/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752162/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752160/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752150/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752154/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752153/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR594355/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR599362/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR594375/metaspades_output/renamed_graph.gfa,/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752145/metaspades_output/renamed_graph.gfa",11,10,224.966,219.24,230.54,4.479045533245758,7270971.6,7268356,7273668,1706.973357860117,3:44.97,3:39.24,3:50.54,0:04.48,6.9341388702392575,6.931644439697266,6.936710357666016,0.0016278966501809282
