GFA file,runs,elapsed_avg_s,elapsed_min_s,elapsed_max_s,elapsed_std_s,rss_avg_kb,rss_min_kb,rss_max_kb,rss_std_kb,elapsed_avg_mmss,elapsed_min_mmss,elapsed_max_mmss,elapsed_mmsstd_mmss,rss_avg_gb,rss_min_gb,rss_max_gb,rss_std_gb
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752143/megahit_output/final.graph.fastg,10,7.159000000000001,6.8,9.12,0.6982430331434268,2341992.0,2341956,2342036,28.095076674269343,0:07.16,0:06.80,0:09.12,0:00.70,2.2334976196289062,2.2334632873535156,2.233539581298828,2.6793553041714996e-05
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752144/megahit_output/final.graph.fastg,10,8.674000000000001,8.49,9.08,0.1757017675241516,2970102.4,2970060,2970120,17.708754896851765,0:08.67,0:08.49,0:09.08,0:00.18,2.8325103759765624,2.832469940185547,2.8325271606445312,1.688838472066094e-05
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752145/megahit_output/final.graph.fastg,10,11.718,10.3,20.47,3.085643458916722,3826504.0,3826012,3827480,661.9298385108959,0:11.72,0:10.30,0:20.47,0:03.09,3.6492385864257812,3.6487693786621094,3.6501693725585938,0.0006312654862507781
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752146/megahit_output/final.graph.fastg,10,15.14,13.5,24.56,3.330438743202195,4958357.6,4958288,4958664,109.74232445937116,0:15.14,0:13.50,0:24.56,0:03.33,4.728658294677734,4.7285919189453125,4.728950500488281,0.00010465843625962368
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752147/megahit_output/final.graph.fastg,10,17.662,16.7,22.24,1.6271228868431808,5983950.0,5983576,5984732,532.009189561411,0:17.66,0:16.70,0:22.24,0:01.63,5.70673942565918,5.706382751464844,5.707485198974609,0.0005073635001768217
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752149/megahit_output/final.graph.fastg,10,10.881,10.27,12.99,0.760445045132563,3697773.2,3697296,3699340,825.8642342014851,0:10.88,0:10.27,0:12.99,0:00.76,3.5264713287353517,3.5260162353515625,3.527965545654297,0.0007876055089964725
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752150/megahit_output/final.graph.fastg,10,12.497,11.52,15.33,1.0853985443144845,4302908.0,4302308,4303240,315.94654962861404,0:12.50,0:11.52,0:15.33,0:01.09,4.103572845458984,4.103000640869141,4.103889465332031,0.00030131010973798183
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752151/megahit_output/final.graph.fastg,10,16.128,15.16,21.07,1.7833601244093504,5520305.2,5520260,5520336,30.29044587181476,0:16.13,0:15.16,0:21.07,0:01.78,5.264573287963867,5.264530181884766,5.2646026611328125,2.888722026044346e-05
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752153/megahit_output/final.graph.fastg,10,8.843,8.47,9.99,0.4218227642558485,3006210.0,3006168,3006256,30.94080369565227,0:08.84,0:08.47,0:09.99,0:00.42,2.866945266723633,2.8669052124023438,2.8669891357421875,2.9507449813511153e-05
/scratch/user/mall0133/Tara_Oceans_data/assemblies/ERR2752163/megahit_output/final.graph.fastg,10,19.489,18.2,23.8,1.6803931418305391,6632678.4,6632380,6634456,633.4559881231024,0:19.49,0:18.20,0:23.80,0:01.68,6.3254150390625,6.325130462646484,6.327110290527344,0.0006041107064467453
